"Index","Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
1,2021-08-30,301.119995117188,304.220001220703,301.059997558594,303.589996337891,16348100,298.187805175781
2,2021-08-31,304.420013427734,304.5,301.5,301.880004882812,26285300,296.508270263672
3,2021-09-01,302.869995117188,305.190002441406,301.489990234375,301.829986572266,18983800,296.459075927734
4,2021-09-02,302.200012207031,303.359985351562,300.179992675781,301.149993896484,16285600,295.791290283203
5,2021-09-03,300.989990234375,302.600006103516,300.260009765625,301.140014648438,14747900,295.781372070312
6,2021-09-07,301.010009765625,301.089996337891,298.200012207031,300.179992675781,17180400,294.838470458984
7,2021-09-08,299.779998779297,300.609985351562,297.470001220703,300.209991455078,15046800,294.867950439453
8,2021-09-09,300.820007324219,302.140014648438,297,297.25,19927000,291.960632324219
9,2021-09-10,298.420013427734,299.920013427734,295.380004882812,295.709991455078,19633400,290.447998046875
10,2021-09-13,297.549987792969,298.540008544922,294.079986572266,296.989990234375,23652900,291.705291748047
11,2021-09-14,299.559997558594,301.390014648438,298.100006103516,299.790008544922,21853400,294.455444335938
12,2021-09-15,303.260009765625,305.320007324219,301.820007324219,304.820007324219,28356300,299.395904541016
13,2021-09-16,303.760009765625,305.309997558594,300.760009765625,305.220001220703,19550800,299.788848876953
14,2021-09-17,304.170013427734,304.5,299.529998779297,299.869995117188,41372500,294.533966064453
15,2021-09-20,296.329986572266,298.720001220703,289.519989013672,294.299987792969,38278700,289.063110351562
16,2021-09-21,295.690002441406,297.540008544922,294.070007324219,294.799987792969,22364100,289.554260253906
17,2021-09-22,296.730010986328,300.220001220703,294.510009765625,298.579986572266,26626300,293.266937255859
18,2021-09-23,298.850006103516,300.899993896484,297.529998779297,299.559997558594,18604600,294.229461669922
19,2021-09-24,298.230010986328,299.799987792969,296.929992675781,299.350006103516,14999000,294.023254394531
20,2021-09-27,296.140014648438,296.470001220703,292.940002441406,294.170013427734,23571700,288.935455322266
21,2021-09-28,289.799987792969,290.779998779297,282.75,283.519989013672,43186200,278.474914550781
22,2021-09-29,285.100006103516,286.769989013672,283.010009765625,284,26353700,278.946411132812
23,2021-09-30,285.709991455078,287.829986572266,281.619995117188,281.920013427734,32343600,276.903411865234
24,2021-10-01,282.119995117188,289.980010986328,281.290008544922,289.100006103516,30086300,283.955657958984
25,2021-10-04,287.399993896484,287.75,280.25,283.109985351562,31350700,278.072204589844
26,2021-10-05,284.049987792969,290.399993896484,284.049987792969,288.760009765625,24993000,283.621704101562
27,2021-10-06,285.779998779297,293.630004882812,285.510009765625,293.109985351562,28002600,287.894287109375
28,2021-10-07,295.179992675781,296.640014648438,293.920013427734,294.850006103516,20430500,289.603332519531
29,2021-10-08,296.220001220703,296.640014648438,293.760009765625,294.850006103516,17685700,289.603332519531
30,2021-10-11,292.920013427734,297.970001220703,292.75,294.230010986328,19298600,288.994384765625
31,2021-10-12,295.339996337891,295.440002441406,292.350006103516,292.880004882812,17974100,287.668395996094
32,2021-10-13,294.910003662109,297.279998779297,293.489990234375,296.309997558594,23416300,291.037353515625
33,2021-10-14,299.209991455078,303.269989013672,297.829986572266,302.75,27262900,297.362701416016
34,2021-10-15,302.339996337891,304.450012207031,300.519989013672,304.209991455078,25384800,298.796752929688
35,2021-10-18,303.570007324219,308.209991455078,302.690002441406,307.290008544922,22729300,301.821960449219
36,2021-10-19,308.350006103516,309.299987792969,307.220001220703,308.230010986328,17682100,302.745269775391
37,2021-10-20,309.209991455078,309.700012207031,306.109985351562,307.410003662109,16537100,301.939819335938
38,2021-10-21,307.170013427734,311.019989013672,306.359985351562,310.760009765625,16918100,305.230224609375
39,2021-10-22,310.399993896484,311.089996337891,307.799987792969,309.160003662109,17449300,303.658660888672
40,2021-10-25,309.359985351562,309.399993896484,306.459991455078,308.130004882812,17554500,302.647033691406
41,2021-10-26,311,312.399993896484,308.600006103516,310.109985351562,28107300,304.591796875
42,2021-10-27,316,326.100006103516,316,323.170013427734,52588700,317.419372558594
43,2021-10-28,324.329986572266,324.869995117188,321.359985351562,324.350006103516,26297900,318.578399658203
44,2021-10-29,324.130004882812,332,323.899993896484,331.619995117188,34766000,325.719024658203
45,2021-11-01,331.359985351562,331.489990234375,326.369995117188,329.369995117188,27073200,323.509094238281
46,2021-11-02,330.309997558594,333.450012207031,330,333.130004882812,26487100,327.202178955078
47,2021-11-03,333.899993896484,334.899993896484,330.649993896484,334,21500100,328.056671142578
48,2021-11-04,332.890014648438,336.540008544922,329.510009765625,336.440002441406,23992200,330.453216552734
49,2021-11-05,338.510009765625,338.790008544922,334.420013427734,336.059997558594,22570100,330.080047607422
50,2021-11-08,337.299987792969,337.649993896484,334.440002441406,336.989990234375,20897000,330.993469238281
51,2021-11-09,337.109985351562,338.720001220703,334.529998779297,335.950012207031,21307400,329.971954345703
52,2021-11-10,334.570007324219,334.630004882812,329.920013427734,330.799987792969,25500900,324.913604736328
53,2021-11-11,331.25,333.769989013672,330.510009765625,332.429992675781,16849800,326.5146484375
54,2021-11-12,333.920013427734,337.230010986328,333.790008544922,336.720001220703,23831000,330.728302001953
